FINAL1,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
Source4:,I-92,I-92,I-92,I-92,I-92,I-92,APIS,APIS,APIS,APIS,APIS,APIS,Total,% Change
Canada,-3.20%,5.20%,10.50%,5.50%,2.10%,9.20%,1.70%,5.00%,5.00%,12.70%,14.70%,1.40%,,
,,,,,,,,,,,,,,
Other Regions,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Europe,-0.50%,-4.30%,0.60%,-19.00%,-0.70%,10.70%,-10.40%,-19.60%,-3.60%,-9.70%,-14.50%,-18.60%,,
Asia,6.10%,9.10%,12.90%,7.70%,10.30%,13.70%,-27.80%,-28.90%,-20.80%,-19.00%,-22.60%,-30.90%,,
So America,-1.80%,-2.20%,3.10%,-3.50%,3.90%,5.20%,-31.10%,-32.00%,-36.20%,-36.80%,-36.40%,-37.10%,,
Cent Am,-1.60%,-2.50%,1.90%,-12.50%,-9.20%,4.50%,-7.00%,-20.10%,-26.80%,-22.60%,-19.40%,-21.70%,,
Oceania,23.70%,10.80%,10.70%,10.40%,12.20%,33.50%,-40.80%,-36.60%,-40.40%,-41.70%,-39.70%,-40.80%,,
Middle East,34.30%,33.40%,44.40%,28.90%,19.00%,24.30%,-8.10%,-9.60%,-3.30%,2.60%,-4.80%,-0.90%,,
Africa,21.30%,5.90%,18.10%,25.00%,7.90%,19.70%,-2.50%,-2.90%,-0.80%,-0.80%,-11.00%,-15.30%,,
Overseas,4.30%,1.30%,7.20%,-5.50%,2.30%,10.60%,-9.70%,-18.10%,-11.20%,-13.20%,-16.20%,-20.10%,,
Total,3.10%,0.30%,6.20%,-4.50%,7.70%,11.00%,-5.80%,-14.30%,-9.70%,-10.10%,-12.10%,-16.30%,,
